lncrna,mrna,gene_id,gene_name,Decision_Tree(%),K-Nearest-Neighbours(%),Random_Forest(%),LightGBM(%),Cumulative_Model_Score(%),avg_score,models_ge80
TCONS_00522040,ENST00000331173.6,ENSG00000177613,CSTF2T,99.09,100.0,95.66,89.9,100.0,96.1625,4
TCONS_00522040,ENST00000937744.1,ENSG00000167005,NUDT21,99.3,100.0,93.62,91.28,100.0,96.05000000000001,4
TCONS_00522040,ENST00000300291.10,ENSG00000167005,NUDT21,99.3,100.0,93.55,91.28,100.0,96.0325,4
TCONS_00522040,ENST00000868173.1,ENSG00000130962,PRRG1,99.3,100.0,91.98,91.28,100.0,95.64000000000001,4
TCONS_00522040,ENST00000933594.1,ENSG00000143815,LBR,99.3,100.0,91.84,91.28,100.0,95.60499999999999,4
TCONS_00522040,ENST00000964520.1,ENSG00000136636,KCTD3,99.3,100.0,91.83,91.28,100.0,95.60249999999999,4
TCONS_00522040,ENST00000259154.9,ENSG00000136636,KCTD3,99.3,100.0,91.83,91.28,100.0,95.60249999999999,4
TCONS_00522040,ENST00000396954.8,ENSG00000164172,MOCS2,99.3,100.0,91.77,91.28,100.0,95.5875,4
TCONS_00522040,ENST00000905626.1,ENSG00000136636,KCTD3,99.09,100.0,91.92,91.28,100.0,95.57249999999999,4
TCONS_00522040,ENST00000885796.1,ENSG00000143815,LBR,99.3,100.0,91.7,91.28,100.0,95.57,4
TCONS_00522040,ENST00000896544.1,ENSG00000156504,PABIR2,99.09,100.0,93.21,89.9,100.0,95.55000000000001,4
TCONS_00522040,ENST00000343004.10,ENSG00000156504,PABIR2,99.09,100.0,93.21,89.9,100.0,95.55000000000001,4
TCONS_00522040,ENST00000896543.1,ENSG00000156504,PABIR2,99.09,100.0,93.21,89.9,100.0,95.55000000000001,4
TCONS_00522040,ENST00000896545.1,ENSG00000156504,PABIR2,99.09,100.0,93.21,89.9,100.0,95.55000000000001,4
TCONS_00522040,ENST00000880428.1,ENSG00000138071,ACTR2,99.3,100.0,91.58,91.28,100.0,95.53999999999999,4
TCONS_00522040,ENST00000282570.4,ENSG00000087338,GMCL1,99.3,100.0,91.58,91.28,100.0,95.53999999999999,4
TCONS_00522040,ENST00000370790.5,ENSG00000156504,PABIR2,99.09,100.0,93.16,89.9,100.0,95.5375,4
TCONS_00522040,ENST00000421351.4,ENSG00000112378,PERP,99.09,100.0,93.13,89.9,100.0,95.53,4
