lncrna,mrna,gene_id,gene_name,Decision_Tree(%),K-Nearest-Neighbours(%),Random_Forest(%),LightGBM(%),Cumulative_Model_Score(%),avg_score,models_ge80
TCONS_00372670,ENST00000331173.6,ENSG00000177613,CSTF2T,99.09,100.0,95.61,90.0,100.0,96.175,4
TCONS_00372670,ENST00000343004.10,ENSG00000156504,PABIR2,99.09,100.0,93.14,90.0,100.0,95.5575,4
TCONS_00372670,ENST00000896545.1,ENSG00000156504,PABIR2,99.09,100.0,93.14,90.0,100.0,95.5575,4
TCONS_00372670,ENST00000370790.5,ENSG00000156504,PABIR2,99.09,100.0,93.14,90.0,100.0,95.5575,4
TCONS_00372670,ENST00000896543.1,ENSG00000156504,PABIR2,99.09,100.0,93.14,90.0,100.0,95.5575,4
TCONS_00372670,ENST00000896544.1,ENSG00000156504,PABIR2,99.09,100.0,93.14,90.0,100.0,95.5575,4
TCONS_00372670,ENST00000903191.1,ENSG00000168092,PAFAH1B2,99.09,100.0,93.07,90.0,100.0,95.53999999999999,4
TCONS_00372670,ENST00000394804.6,ENSG00000109332,UBE2D3,99.09,100.0,93.09,89.9,100.0,95.52000000000001,4
TCONS_00372670,ENST00000421351.4,ENSG00000112378,PERP,99.09,100.0,93.09,89.9,100.0,95.52000000000001,4
TCONS_00372670,ENST00000889868.1,ENSG00000119414,PPP6C,99.09,100.0,92.79,89.9,100.0,95.445,4
TCONS_00372670,ENST00000928788.1,ENSG00000168092,PAFAH1B2,99.09,100.0,92.69,90.0,100.0,95.445,4
TCONS_00372670,ENST00000415905.5,ENSG00000119414,PPP6C,99.09,100.0,92.79,89.9,100.0,95.445,4
TCONS_00372670,ENST00000542527.7,ENSG00000185716,MOSMO,99.09,100.0,92.79,89.9,100.0,95.445,4
TCONS_00372670,ENST00000492996.6,ENSG00000148634,HERC4,99.09,100.0,92.66,90.0,100.0,95.4375,4
TCONS_00372670,ENST00000928787.1,ENSG00000168092,PAFAH1B2,99.09,100.0,92.69,89.9,100.0,95.41999999999999,4
TCONS_00372670,ENST00000236137.10,ENSG00000117479,SLC19A2,99.09,100.0,92.57,90.0,100.0,95.41499999999999,4
TCONS_00372670,ENST00000954860.1,ENSG00000117479,SLC19A2,99.09,100.0,92.57,90.0,100.0,95.41499999999999,4
TCONS_00372670,ENST00000928789.1,ENSG00000168092,PAFAH1B2,99.09,100.0,92.61,89.9,100.0,95.4,4
TCONS_00372670,ENST00000904300.1,ENSG00000125375,DMAC2L,99.09,100.0,92.45,90.0,100.0,95.385,4
TCONS_00372670,ENST00000369293.6,ENSG00000172469,MANEA,99.09,100.0,92.39,90.0,100.0,95.37,4
TCONS_00372670,ENST00000680510.2,ENSG00000169446,MMGT1,99.09,100.0,92.32,90.0,100.0,95.35249999999999,4
TCONS_00372670,ENST00000874999.1,ENSG00000105887,MTPN,99.09,100.0,92.31,90.0,100.0,95.35,4
TCONS_00372670,ENST00000518321.6,ENSG00000175106,TVP23C,99.09,100.0,92.38,89.9,100.0,95.3425,4
TCONS_00372670,ENST00000912409.1,ENSG00000070214,SLC44A1,99.09,100.0,92.37,89.9,100.0,95.34,4
TCONS_00372670,ENST00000907584.1,ENSG00000163785,RYK,99.09,100.0,92.26,90.0,100.0,95.3375,4
TCONS_00372670,ENST00000398014.7,ENSG00000140157,NIPA2,99.09,100.0,92.26,90.0,100.0,95.3375,4
TCONS_00372670,ENST00000396981.7,ENSG00000132388,UBE2G1,99.09,100.0,92.24,90.0,100.0,95.3325,4
TCONS_00372670,ENST00000393085.4,ENSG00000105887,MTPN,99.09,100.0,92.24,90.0,100.0,95.3325,4
TCONS_00372670,ENST00000680892.1,ENSG00000072041,SLC6A15,99.09,100.0,92.24,90.0,100.0,95.3325,4
TCONS_00372670,ENST00000674289.1,ENSG00000140157,NIPA2,99.09,100.0,92.2,90.0,100.0,95.3225,4
TCONS_00372670,ENST00000674173.1,ENSG00000140157,NIPA2,99.09,100.0,92.2,90.0,100.0,95.3225,4
TCONS_00372670,ENST00000956792.1,ENSG00000144959,NCEH1,99.09,100.0,92.18,90.0,100.0,95.3175,4
TCONS_00372670,ENST00000681985.1,ENSG00000155096,AZIN1,99.09,100.0,92.17,89.9,100.0,95.28999999999999,4
TCONS_00372670,ENST00000337198.10,ENSG00000155096,AZIN1,99.09,100.0,92.17,89.9,100.0,95.28999999999999,4
TCONS_00372670,ENST00000920548.1,ENSG00000085449,WDFY1,99.09,100.0,92.16,89.9,100.0,95.2875,4
TCONS_00372670,ENST00000917676.1,ENSG00000109332,UBE2D3,99.09,100.0,92.06,90.0,100.0,95.2875,4
TCONS_00372670,ENST00000961972.1,ENSG00000151881,TMEM267,99.09,100.0,92.06,90.0,100.0,95.2875,4
TCONS_00372670,ENST00000885465.1,ENSG00000164951,PDP1,99.09,100.0,92.14,89.9,100.0,95.2825,4
TCONS_00372670,ENST00000923526.1,ENSG00000058804,NDC1,99.09,100.0,92.13,89.9,100.0,95.28,4
TCONS_00372670,ENST00000863811.1,ENSG00000146802,TMEM168,99.09,100.0,92.12,89.9,100.0,95.2775,4
TCONS_00372670,ENST00000961159.1,ENSG00000268104,SLC6A14,99.09,100.0,92.12,89.9,100.0,95.2775,4
TCONS_00372670,ENST00000928784.1,ENSG00000168092,PAFAH1B2,99.09,100.0,92.01,90.0,100.0,95.275,4
TCONS_00372670,ENST00000527958.6,ENSG00000168092,PAFAH1B2,99.09,100.0,92.01,90.0,100.0,95.275,4
TCONS_00372670,ENST00000586353.6,ENSG00000198453,ZNF568,99.09,100.0,92.01,90.0,100.0,95.275,4
TCONS_00372670,ENST00000928783.1,ENSG00000168092,PAFAH1B2,99.09,100.0,92.01,90.0,100.0,95.275,4
TCONS_00372670,ENST00000451402.5,ENSG00000119414,PPP6C,99.09,100.0,92.08,89.9,100.0,95.26750000000001,4
TCONS_00372670,ENST00000560355.1,ENSG00000166147,FBN1,99.09,100.0,91.98,90.0,100.0,95.2675,4
TCONS_00372670,ENST00000684721.1,ENSG00000155096,AZIN1,99.09,100.0,91.98,90.0,100.0,95.2675,4
TCONS_00372670,ENST00000340353.11,ENSG00000166575,TMEM135,99.09,100.0,91.98,90.0,100.0,95.2675,4
TCONS_00372670,ENST00000863809.1,ENSG00000146802,TMEM168,99.09,100.0,91.98,90.0,100.0,95.2675,4
