gene	kegg_gene_id	pathway_id	pathway_name
ATG3	hsa:64422	hsa04136	Autophagy - other - Homo sapiens (human)
ATG3	hsa:64422	hsa04140	Autophagy - animal - Homo sapiens (human)
ATG3	hsa:64422	hsa05167	Kaposi sarcoma-associated herpesvirus infection - Homo sapiens (human)
CD164	hsa:8763	hsa04142	Lysosome - Homo sapiens (human)
CDC42	hsa:998	hsa04010	MAPK signaling pathway - Homo sapiens (human)
CDC42	hsa:998	hsa04014	Ras signaling pathway - Homo sapiens (human)
CDC42	hsa:998	hsa04015	Rap1 signaling pathway - Homo sapiens (human)
CDC42	hsa:998	hsa04062	Chemokine signaling pathway - Homo sapiens (human)
CDC42	hsa:998	hsa04144	Endocytosis - Homo sapiens (human)
CDC42	hsa:998	hsa04360	Axon guidance - Homo sapiens (human)
CDC42	hsa:998	hsa04370	VEGF signaling pathway - Homo sapiens (human)
CDC42	hsa:998	hsa04510	Focal adhesion - Homo sapiens (human)
CDC42	hsa:998	hsa04520	Adherens junction - Homo sapiens (human)
CDC42	hsa:998	hsa04530	Tight junction - Homo sapiens (human)
CDC42	hsa:998	hsa04660	T cell receptor signaling pathway - Homo sapiens (human)
CDC42	hsa:998	hsa04666	Fc gamma R-mediated phagocytosis - Homo sapiens (human)
CDC42	hsa:998	hsa04670	Leukocyte transendothelial migration - Homo sapiens (human)
CDC42	hsa:998	hsa04722	Neurotrophin signaling pathway - Homo sapiens (human)
CDC42	hsa:998	hsa04810	Regulation of actin cytoskeleton - Homo sapiens (human)
CDC42	hsa:998	hsa04912	GnRH signaling pathway - Homo sapiens (human)
CDC42	hsa:998	hsa04932	Non-alcoholic fatty liver disease - Homo sapiens (human)
CDC42	hsa:998	hsa04933	AGE-RAGE signaling pathway in diabetic complications - Homo sapiens (human)
CDC42	hsa:998	hsa05100	Bacterial invasion of epithelial cells - Homo sapiens (human)
CDC42	hsa:998	hsa05120	Epithelial cell signaling in Helicobacter pylori infection - Homo sapiens (human)
CDC42	hsa:998	hsa05130	Pathogenic Escherichia coli infection - Homo sapiens (human)
CDC42	hsa:998	hsa05131	Shigellosis - Homo sapiens (human)
CDC42	hsa:998	hsa05132	Salmonella infection - Homo sapiens (human)
CDC42	hsa:998	hsa05135	Yersinia infection - Homo sapiens (human)
CDC42	hsa:998	hsa05165	Human papillomavirus infection - Homo sapiens (human)
CDC42	hsa:998	hsa05200	Pathways in cancer - Homo sapiens (human)
CDC42	hsa:998	hsa05203	Viral carcinogenesis - Homo sapiens (human)
CDC42	hsa:998	hsa05205	Proteoglycans in cancer - Homo sapiens (human)
CDC42	hsa:998	hsa05211	Renal cell carcinoma - Homo sapiens (human)
CDC42	hsa:998	hsa05212	Pancreatic cancer - Homo sapiens (human)
CDC42	hsa:998	hsa05417	Lipid and atherosclerosis - Homo sapiens (human)
CLDN16	hsa:10686	hsa03272	Virion - Hepatitis viruses - Homo sapiens (human)
CLDN16	hsa:10686	hsa04382	Cornified envelope formation - Homo sapiens (human)
CLDN16	hsa:10686	hsa04514	Cell adhesion molecules - Homo sapiens (human)
CLDN16	hsa:10686	hsa04530	Tight junction - Homo sapiens (human)
CLDN16	hsa:10686	hsa04670	Leukocyte transendothelial migration - Homo sapiens (human)
CLDN16	hsa:10686	hsa05130	Pathogenic Escherichia coli infection - Homo sapiens (human)
CLDN16	hsa:10686	hsa05160	Hepatitis C - Homo sapiens (human)
DKK2	hsa:27123	hsa04310	Wnt signaling pathway - Homo sapiens (human)
DKK2	hsa:27123	hsa05010	Alzheimer disease - Homo sapiens (human)
DKK2	hsa:27123	hsa05022	Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)
HNRNPA1	hsa:3178	hsa03040	Spliceosome - Homo sapiens (human)
HNRNPA1	hsa:3178	hsa05014	Amyotrophic lateral sclerosis - Homo sapiens (human)
PLOD2	hsa:5352	hsa00310	Lysine degradation - Homo sapiens (human)
PLOD2	hsa:5352	hsa01100	Metabolic pathways - Homo sapiens (human)
PPM1A	hsa:5494	hsa04010	MAPK signaling pathway - Homo sapiens (human)
PPP3CB	hsa:5532	hsa04010	MAPK signaling pathway - Homo sapiens (human)
PPP3CB	hsa:5532	hsa04020	Calcium signaling pathway - Homo sapiens (human)
PPP3CB	hsa:5532	hsa04022	cGMP-PKG signaling pathway - Homo sapiens (human)
PPP3CB	hsa:5532	hsa04114	Oocyte meiosis - Homo sapiens (human)
PPP3CB	hsa:5532	hsa04218	Cellular senescence - Homo sapiens (human)
PPP3CB	hsa:5532	hsa04310	Wnt signaling pathway - Homo sapiens (human)
PPP3CB	hsa:5532	hsa04360	Axon guidance - Homo sapiens (human)
PPP3CB	hsa:5532	hsa04370	VEGF signaling pathway - Homo sapiens (human)
