Description,Transcript_length,GC_content,Fickett_score,ORF_T0_length,ORF_T1_length,ORF_T2_length,ORF_T0_coverage,ORF_T1_coverage,ORF_T3_coverage,Hexamer_score_ORF_T0,Hexamer_score_ORF_T1,Hexamer_score_ORF_T2,Hexamer_score_ORF_T3,RCB_T0,RCB_T1,SS_score_k1,SS_score_k2,SS_score_k3,SS_score_k4,SS_score_k5,GC_content_paired_ss,ORF_T0_PI,ORF_T0_MW,ORF_T0_aromaticity,ORF_T0_instability,ORF_T1_MW,ORF_T1_instability,ORF_T2_MW,ORF_T3_MW,Noncoding_prob,predict
TCONS_00033332 gene=B3GALT6,14941.0,0.5695067264573991,0.5036,537.0,14922.0,990.0,0.03594136938625259,0.9987283314369855,0.9987283314369855,-0.06490188561431348,-0.1140163102286602,0.35662051435063447,-0.1140163102286602,0.6561857292960849,0.29928063833739116,0.009747602488770903,0.02111322959871147,0.03143195992988613,0.03948594941177416,0.04798277403237184,0.6369394731550372,9.570089912414549,19496.021599999982,0.08988764044943821,88.11910112359547,1029.1284,77.76363636363637,34127.564499999986,1029.1284,0.88630635,lncrna
TCONS_00004548 gene=TMEM201,3157.0,0.522331327209376,0.49139999999999995,453.0,3150.0,465.0,0.14349065568577762,0.9977827050997783,0.9977827050997783,0.009132607299329673,-0.1904089023400655,0.008152432577217124,-0.1904089023400655,0.6747927332861408,0.34303469782120377,0.007182742699841035,0.014340630094554536,0.020901224259453403,0.025155627895036958,0.029391537472618946,0.5698874296435272,9.462814521789554,16541.620699999992,0.08,52.687400000000004,3639.2340999999988,52.92941176470589,16957.019099999987,3639.2340999999988,0.9867152,lncrna
TCONS_00040804 gene=NFYC,10658.0,0.5739350722462,0.457,357.0,10591.0,618.0,0.03349596547194596,0.9937136423343967,0.9937136423343967,0.028991256323125218,-0.1999124748263879,-0.0012659486881910899,-0.1999124748263879,0.6642874221172665,0.36051214190093117,0.012436148757604066,0.023725740112536975,0.03350172565360713,0.04068168730796949,0.047004309613842846,0.6345833333333334,7.091312217712402,12765.555599999985,0.05084745762711865,52.875423728813544,1094.2448,27.088888888888892,21998.461699999993,1094.2448,0.98217404,lncrna
TCONS_00064758 gene=XLOC_004328,9356.0,0.5203078238563489,0.6653999999999999,1116.0,9230.0,1197.0,0.11928174433518597,0.9865327062847371,0.9865327062847371,0.6002142696697746,-0.25254677069298165,0.20283544743240192,-0.25254677069298165,0.17526752312437122,0.4455768251450787,0.008464173099749549,0.00933050790176916,0.008583440315470169,0.009569302423109445,0.009482117772654107,0.5776133501259446,4.201504325866699,38704.683800000115,0.005390835579514824,9.270619946091642,351.4852,-18.46666666666667,30516.29249999982,351.4852,0.028422952,mrna
TCONS_00040945 gene=HIVEP3,13382.0,0.4685398296218801,0.4594,462.0,13349.0,558.0,0.034523987445822746,0.997534000896727,0.997534000896727,0.18139225788432367,-0.3589451586352415,0.15622581355249007,-0.3589451586352415,0.6452806731015286,0.2843411328901879,0.00255881917686689,0.00032944895034597686,-0.003073627998600427,-0.007769770116255215,-0.013448695201526122,0.5394257064721969,8.731743049621581,16961.124799999994,0.11111111111111112,31.121568627450976,696.8583,76.76666666666667,20577.066699999996,696.8583,0.035662174,mrna
TCONS_00043572 gene=JUN,5491.0,0.46148242578765253,0.4522,573.0,5303.0,609.0,0.10435257694409034,0.9657621562556912,0.9657621562556912,0.5324499832801513,-0.3474975460424165,0.24848526638103552,-0.3474975460424165,0.5860999627251371,0.253961646158249,0.0015306211246372892,0.004126915372933445,0.005989731403227675,0.009335128729335911,0.013814278688694694,0.5196917808219178,9.822677040100096,20621.375600000007,0.031578947368421054,60.00842105263158,4885.572,149.7404761904762,20784.660899999963,4885.572,0.028824508,mrna
TCONS_00014328 gene=PIGK,10928.0,0.4260614934114202,0.3953,1149.0,10869.0,1317.0,0.10514275256222548,0.9946010248901903,0.9946010248901903,0.43408840942787696,-0.3178698884711526,0.39096258230984476,-0.3178698884711526,0.39689697411086544,0.2459261149507468,-0.004091341019763486,-0.007404328247766448,-0.010547340931364764,-0.013436220477820162,-0.013132866564297043,0.4918206604059376,9.587625312805173,42810.313300000074,0.10471204188481675,47.02617801047119,1342.6068,59.0,48942.49070000005,1342.6068,0.0007277131,mrna
TCONS_00065011 gene=XLOC_005402,11735.0,0.47831273966766086,0.47859999999999997,297.0,11728.0,855.0,0.025308904985087345,0.9994034938219003,0.9994034938219003,-0.11167778222805844,-0.3220827945828284,0.401251037778208,-0.3220827945828284,0.7288791447288239,0.2607792760557519,0.001954008339017372,0.00384391857694799,0.00551891995650129,0.006192501023791279,0.008076582562138133,0.5450917797286512,9.59839153289795,11262.680499999997,0.1326530612244898,47.016326530612226,1899.1166000000003,33.094736842105256,30521.854699999993,1899.1166000000003,0.40817386,mrna
TCONS_00027319 gene=ENSG00000298569,3517.0,0.5328404890531703,0.3934,585.0,3480.0,606.0,0.1663349445550185,0.9894796701734433,0.9894796701734433,-0.09874024576534528,-0.18426457237565463,-0.09692421660008103,-0.18426457237565463,1.5462619986427173,0.8427037250460703,0.01252966021314714,0.021664457899330025,0.02726280973821224,0.03591958802869548,0.03708153850238952,0.5547945205479452,7.497597312927247,21219.023100000028,0.07216494845360825,50.58969072164951,4114.619899999999,58.36428571428571,22010.019300000025,4114.619899999999,0.9905472,lncrna
TCONS_00064239 gene=XLOC_002994,16844.0,0.4712063642840181,0.4261,510.0,16821.0,621.0,0.03027784374257896,0.9986345286155307,0.9986345286155307,-0.13039080396489974,-0.3064021000591408,0.03285518905337155,-0.3064021000591408,1.7320731857321503,0.3722696011451252,0.0032138815696046504,0.0032716769085963785,0.0018308758404631867,0.0003290686896497097,-0.0020265560960437035,0.520924308588064,8.15558910369873,18505.680600000014,0.0650887573964497,47.20828402366864,18505.680600000014,47.20828402366864,22092.897599999993,18505.680600000014,0.7036177,lncrna
TCONS_00065280 gene=XLOC_006468,803.0,0.6039850560398505,0.5318,237.0,787.0,222.0,0.29514321295143214,0.9800747198007472,0.9800747198007472,-0.1666731342185576,-0.15272732283995658,-0.17980616747956576,-0.15272732283995658,1.0548604207294567,0.8168753209348403,0.012436761404914684,0.02445799609977296,0.030750876039563887,0.035633366960171615,0.0329157247618703,0.5723404255319149,9.06904163360596,8376.037200000002,0.08974358974358974,33.564102564102555,404.52799999999996,-18.46666666666667,7445.8411000000015,404.52799999999996,0.9985109,lncrna
TCONS_00065281 gene=XLOC_006468,532.0,0.599624060150376,0.7051000000000001,48.0,216.0,267.0,0.09022556390977443,0.40601503759398494,0.5018796992481203,-0.03767615220870457,0.01866323201317396,-0.06081656646358127,-0.06081656646358127,1.3901273546100263,1.0052067967726979,0.015527031016666921,0.02553560111684437,0.03234030465040928,0.03770534303021569,0.049594393682927604,0.5873493975903614,5.892748451232909,1685.0405,0.06666666666666667,-1.3533333333333335,1685.0405,-1.3533333333333335,9768.2583,9768.2583,0.9992772,lncrna
TCONS_00074019 gene=UBTD1,1299.0,0.6327944572748267,0.8696999999999999,561.0,1291.0,558.0,0.43187066974595845,0.993841416474211,0.993841416474211,0.6285801673108552,-0.11917978620190982,-0.01976876028935614,-0.11917978620190982,0.6934856028494327,0.5182773698548822,0.013212188039365464,0.029319563393301537,0.045452721295434935,0.06453079365180034,0.08663464591596606,0.7097902097902098,5.19482250213623,21196.68009999999,0.08064516129032258,57.12903225806451,333.4038,299.6,19281.09809999998,333.4038,0.008372545,mrna
TCONS_00092194 gene=XLOC_009891,700.0,0.5528571428571428,0.6061000000000001,621.0,655.0,666.0,0.8871428571428571,0.9357142857142857,0.9514285714285714,-0.11991165532107151,-0.15560782247679789,-0.10894276379323933,-0.10894276379323933,1.2487943995089594,1.1124753181829319,-0.0024623260041405463,-0.002351795772832645,-0.009897431476316693,-0.018181609329592955,-0.020729516729634443,0.6397849462365591,9.53837146759033,22994.80390000001,0.07281553398058252,46.665533980582524,22994.80390000001,46.665533980582524,24791.747600000017,24791.747600000017,0.15306044,mrna
TCONS_00092196 gene=XLOC_009897,584.0,0.5958904109589042,0.8812,129.0,520.0,507.0,0.2208904109589041,0.8904109589041096,0.8904109589041096,0.22474370883033665,-0.29608624553665996,0.10725347001245382,-0.29608624553665996,1.7874883175512948,0.9697299137710134,0.012831830399874431,0.03280632410754166,0.04631470705893877,0.05225576527742602,0.0636585248745745,0.5994318181818182,4.0500284194946286,4033.4936,0.0,10.678571428571427,149.2113,0.0,16690.280199999997,149.2113,0.9955865,lncrna
TCONS_00092197 gene=XLOC_009897,400.0,0.5825,0.46980000000000005,78.0,396.0,147.0,0.195,0.99,0.99,0.06623671130673117,-0.1783401674902697,-0.20517888595289233,-0.1783401674902697,2.0962443771669066,0.9575524454891966,0.006136681460016271,0.0230362930039485,0.030995418303678877,0.03469104542819579,0.02139072009797307,0.526595744680851,4.195990943908691,2340.631399999999,0.0,-0.6600000000000016,149.2113,0.0,4816.764500000001,149.2113,0.9996487,lncrna
TCONS_00111956 gene=ENSG00000254595,12427.0,0.47251951396153535,0.49889999999999995,504.0,12160.0,585.0,0.04055685201577211,0.9785145248249779,0.9785145248249779,-0.0028204736438479277,-0.29108244415720436,-0.014598518339651007,-0.29108244415720436,0.6699518228575585,0.3176298488637188,0.0006302122083514604,-0.0030188492108949136,-0.006747687840731448,-0.012013105988936021,-0.017874739090268228,0.5337078651685393,8.778095817565916,17061.14059999999,0.041916167664670656,56.430538922155684,2317.5424999999996,99.20434782608693,19763.149799999996,2317.5424999999996,0.9823951,lncrna
TCONS_00129560 gene=NTF3,1108.0,0.4684115523465704,0.8834000000000001,774.0,1085.0,228.0,0.6985559566787004,0.9792418772563177,0.9792418772563177,0.2999906322716103,0.04884295806805288,0.08762887087601157,0.04884295806805288,0.4060786235899372,0.3652998809675829,-0.0008427572549548831,0.007974903160843481,0.01866429894640003,0.029468206030734037,0.04500170648938521,0.5436746987951807,9.459655570983887,29354.221000000034,0.07392996108949416,53.631595330739295,29354.221000000034,53.631595330739295,7518.204599999999,29354.221000000034,0.0010894537,mrna
TCONS_00129676 gene=XLOC_013974,4161.0,0.49555395337659214,0.4591,381.0,4129.0,456.0,0.09156452775775054,0.992309540975727,0.992309540975727,-0.030679188411572546,-0.24640946314590143,-0.016440658473257454,-0.24640946314590143,0.6983554223640194,0.3473110287633465,0.001226237988633101,-0.0024423641822648398,-0.0067351207221864225,-0.010590820009878809,-0.013459520712174397,0.5537221795855718,8.463167762756349,13141.810899999986,0.015873015873015872,65.13968253968252,1694.0289999999998,36.800000000000004,16631.956999999988,1694.0289999999998,0.9961363,lncrna
TCONS_00162229 gene=XLOC_014063,7789.0,0.5037873924765696,0.4643,402.0,7753.0,492.0,0.05161124662986263,0.9953780973167288,0.9953780973167288,-0.083016212555267,-0.2311200525171424,0.016020049514584397,-0.2311200525171424,0.7453936798481786,0.30975211964200744,0.002521456733950547,0.002726913121586412,0.0025438584445495512,0.0010425513937565348,0.002679054507919148,0.5724137931034483,9.655317115783692,14977.355599999992,0.09774436090225565,66.28203007518796,4022.6305,33.27894736842105,17263.469199999974,4022.6305,0.8860366,lncrna
TCONS_00162777 gene=XLOC_016286,275.0,0.5636363636363636,0.4984,90.0,116.0,249.0,0.32727272727272727,0.4218181818181818,0.9054545454545454,-0.03452470983671397,-0.06528326417132906,-0.02700514822872798,-0.02700514822872798,1.7649461926680554,1.5116845998605593,0.00012888663900969158,0.00024978995720080613,0.0004675925772631824,-0.0005611005017937063,-0.0014816814478742996,0.6506849315068494,11.722947120666507,3519.1716000000006,0.13793103448275862,57.010344827586216,3519.1716000000006,57.010344827586216,9297.700499999994,9297.700499999994,0.99919593,lncrna
TCONS_00151614 gene=FAIM2,1015.0,0.5852216748768473,0.4941,240.0,954.0,369.0,0.23645320197044334,0.9399014778325123,0.9399014778325123,0.053759759694210915,-0.11862998146783081,-0.07997736417238585,-0.11862998146783081,0.7350828818209674,0.5436635383794208,0.009774345531295326,0.014332248359512512,0.01597200820153705,0.012947154487082436,0.01344032033466428,0.662613981762918,6.809618186950684,8510.592099999996,0.0759493670886076,58.74050632911392,1293.3609,96.36666666666667,13649.369399999983,1293.3609,0.99938786,lncrna
TCONS_00135444 gene=AAAS,8705.0,0.5175186674325101,0.5597,3015.0,8684.0,3216.0,0.3463526708788053,0.9975875933371625,0.9975875933371625,0.23523455046849867,-0.2114330962942986,0.22713898179677086,-0.2114330962942986,0.6013156381203413,0.36919987941141685,0.0024101675672801837,0.0018802184272337051,0.000806218554238296,-0.0012481180478085454,-0.002305411448322488,0.5888930301900858,9.120938682556151,105532.32250000077,0.02589641434262948,69.12620517928326,1667.8826999999997,72.59375000000001,112970.47980000086,1667.8826999999997,0.006505072,mrna
TCONS_00137682 gene=XLOC_014752,588.0,0.477891156462585,0.4027,141.0,564.0,246.0,0.23979591836734693,0.9591836734693877,0.9591836734693877,0.052007830887418297,-0.41457933312039724,-0.18667873910841343,-0.41457933312039724,0.984902570433277,0.5256298307751752,0.00025391208277664265,-0.004938234585829002,-0.008479474715801806,-0.012955249348711109,-0.019929973408272853,0.5164835164835165,4.076458549499511,5054.703,0.021739130434782608,68.05217391304348,3836.4852,113.3142857142857,9216.712999999994,3836.4852,0.9991098,lncrna
TCONS_00162601 gene=XLOC_015468,9091.0,0.5268947310526895,0.42800000000000005,270.0,9066.0,324.0,0.02969970300296997,0.997250027499725,0.997250027499725,-0.07437368588318782,-0.5222212709463068,-0.11043456117148286,-0.5222212709463068,0.9156606723279173,1.5470792945037082,-0.0007750237960485314,0.0033337984970505403,0.007193881310519184,0.003651259305801659,-0.013043247655378447,0.5229551451187335,8.816196632385257,9726.42619999999,0.08988764044943821,46.16067415730335,2078.4052,32.471428571428575,11407.48299999999,2078.4052,0.99276805,lncrna
TCONS_00162605 gene=XLOC_015468,15352.0,0.56735278791037,0.4709,735.0,15283.0,759.0,0.0478764981761334,0.9955054715997915,0.9955054715997915,-0.15957480790118517,-0.20137264933922677,-0.14878603646758756,-0.20137264933922677,1.4489872603619962,0.4531141007510813,0.011489783522121502,0.018913189637210975,0.02483631841597942,0.026043662114876926,0.02631418192407243,0.6269648203592815,9.487505912780762,27657.032900000067,0.04098360655737705,49.085655737704926,5525.8379,2.2700000000000005,28418.818900000068,5525.8379,0.9051806,lncrna
TCONS_00161804 gene=XLOC_017406,2092.0,0.47275334608030595,0.43860000000000005,93.0,2071.0,228.0,0.04445506692160612,0.989961759082218,0.989961759082218,-0.29739509522091484,-0.42810003573246896,-0.187491915789063,-0.42810003573246896,2.3114594383737908,2.0662714861022686,-0.00971471607782526,-0.0036941975607553065,0.002019086419245491,0.018511537968277265,0.03435751984383811,0.40746268656716417,5.255583381652832,3015.914499999998,0.0,-3.216666666666667,533.6832,-13.725000000000001,7375.228400000004,533.6832,0.9925076,lncrna
TCONS_00161805 gene=XLOC_017406,4663.0,0.4741582672099507,0.3956,114.0,4648.0,210.0,0.024447780398884837,0.9967831867896204,0.9967831867896204,-0.22146235759530264,-0.42580457396268756,-0.16605194299897064,-0.42580457396268756,2.1480922305236363,1.9421761862686613,-0.007002701094474944,0.0006643985975097146,0.007824969596890916,0.02361921925998467,0.03746724487141433,0.4053117782909931,5.2515478134155265,3640.6256999999987,0.0,24.302702702702703,149.2113,0.0,6865.3977,149.2113,0.99194705,lncrna
TCONS_00161807 gene=XLOC_017406,17038.0,0.4623195210705482,0.37890000000000007,828.0,16999.0,846.0,0.048597253198732246,0.997710998943538,0.997710998943538,0.04046692919323109,-0.3838531362522785,0.02635143699391871,-0.3838531362522785,1.0238950766693713,0.5820777131529489,0.0021085710965280382,0.00352214727374013,0.003589084980763283,0.005285519430218231,0.007438050779206941,0.49240037071362375,10.722655677795409,28871.520499999988,0.021818181818181816,61.608363636363634,149.2113,0.0,29642.412399999994,149.2113,0.25149906,mrna
TCONS_00170009 gene=ENSG00000285935,3409.0,0.40979759460252274,0.3971,465.0,3398.0,492.0,0.1364036374303315,0.9967732472865943,0.9967732472865943,-0.08238120907720718,-0.3442230391317295,-0.09846429089921205,-0.3442230391317295,0.5150362517867402,0.26652866268244413,-0.006480527355368689,-0.012612723983548298,-0.018744432541743558,-0.023990531008984278,-0.029199379251098407,0.48129423660262893,10.827868080139162,17606.249799999972,0.08441558441558442,77.14415584415582,839.0569999999999,42.4,18672.50589999998,839.0569999999999,0.9618166,lncrna
TCONS_00170228 gene=ENSG00000299115,7070.0,0.46322489391796323,0.49369999999999997,459.0,7053.0,606.0,0.06492220650636492,0.9975954738330975,0.9975954738330975,-0.02379312862307858,-0.25711913260453584,-0.00469731776854051,-0.25711913260453584,0.6477485761926589,0.29112813946119864,-0.0005057182639754205,-0.002476124524584208,-0.0037373717732991705,-0.005129422338856729,-0.004403287676721412,0.5454965357967667,8.508682441711429,15805.002899999974,0.046052631578947366,55.59736842105263,236.2886,224.7,20934.62389999998,236.2886,0.8152517,lncrna
TCONS_00175679 gene=XLOC_018379,17086.0,0.5944633032892427,0.4812,780.0,16738.0,888.0,0.045651410511529905,0.9796324476179328,0.9796324476179328,0.011239163217177314,-0.13352397385614836,0.041287636198018444,-0.13352397385614836,0.6076618844004469,0.37769025102662424,0.011843312818230714,0.02337050990139439,0.033762957665144686,0.04248683493131485,0.050514600066906105,0.6537168141592921,8.690612220764159,27331.965900000007,0.03088803088803089,63.79922779922779,2798.9890000000005,68.07692307692308,30351.130499999992,2798.9890000000005,0.6362034,lncrna
TCONS_00192167 gene=RAB15,1080.0,0.49907407407407406,0.4867,174.0,1016.0,192.0,0.16111111111111112,0.9407407407407408,0.9407407407407408,-0.0618159268031467,-0.27907318534209463,0.0056606512381694105,-0.27907318534209463,1.1352088898980432,0.5002989831919282,0.0029890233961329133,-0.0010932564872318479,-0.004868998984188812,-0.012675033422155306,-0.00948663458213976,0.5625,9.257418251037596,6188.395699999999,0.08771929824561403,42.435087719298245,149.2113,0.0,7117.1083,149.2113,0.999355,lncrna
TCONS_00181233 gene=DCAF5,9472.0,0.4977829391891892,0.4588,306.0,9387.0,501.0,0.03230574324324324,0.9910261824324325,0.9910261824324325,-0.26907447002594054,-0.22971178737996847,-0.2361477871985266,-0.22971178737996847,0.8907819797303844,0.32443433905477437,0.0026818051167383284,0.0010130169374783884,-0.0015810373801194058,-0.005700320346157295,-0.00833871669604173,0.562373907195696,9.013018608093262,11495.19569999999,0.16831683168316833,43.88217821782177,6781.763699999999,43.458461538461535,18661.029499999993,6781.763699999999,0.93088776,lncrna
TCONS_00186354 gene=ZBTB42,12540.0,0.6116427432216905,1.1862,8277.0,12432.0,8463.0,0.6600478468899521,0.9913875598086125,0.9913875598086125,0.4788801796359874,0.26554344451831474,0.46866731988305127,0.26554344451831474,0.6688721603530134,0.5168595538911305,0.012853710664018922,0.028180548988691816,0.0428849068566956,0.062027662190636816,0.08227995217708263,0.6949111273435598,5.39284954071045,292945.22480000224,0.025380710659898477,38.2505801305298,1799.9774000000002,18.633333333333333,299227.0185000025,1799.9774000000002,0.0075520277,mrna
TCONS_00197700 gene=XLOC_020646,2099.0,0.554073368270605,0.6889,573.0,2083.0,660.0,0.27298713673177705,0.9923773225345403,0.9923773225345403,0.10689080532240787,-0.2966289793909432,0.08250733628898871,-0.2966289793909432,0.5404837407825163,0.40449144769825507,0.00989989619628052,0.013994424357769862,0.018267738097995263,0.01868937671180961,0.020590689446565516,0.6184593023255814,6.083500099182127,20481.179099999994,0.10526315789473684,35.439473684210526,6890.364700000003,17.204411764705892,23903.066800000004,6890.364700000003,0.75269026,lncrna
TCONS_00197288 gene=IGHV5-51,404.0,0.5841584158415841,1.0069,0.0,353.0,204.0,0.0,0.8737623762376238,0.8737623762376238,NaN,0.3935494237811105,-0.10704682721971807,0.3935494237811105,NaN,0.8452179506575834,0.005746376073514877,0.010026183161751143,0.018892698987072052,0.030441706142208882,0.0422506055209971,0.6791666666666667,NaN,NaN,NaN,NaN,12674.412599999989,29.631623931623924,6660.492000000003,12674.412599999989,0.93353075,lncrna
TCONS_00197320 gene=IGHV2-70D,15902.0,0.4498176330021381,0.4229,552.0,15826.0,723.0,0.03471261476543831,0.9952207269525846,0.9952207269525846,-0.034468305041550365,-0.3007401225118197,0.002989758448508097,-0.3007401225118197,0.5844637575250151,0.28500800786483893,-0.0015463963202146532,-0.004607046903890973,-0.008102472985352896,-0.012244764289603235,-0.01750507367941372,0.5147178237921234,8.562835884094238,19471.863899999986,0.03825136612021858,67.89125683060108,16395.901899999986,25.672364864864864,25762.9163,16395.901899999986,0.41784334,mrna
TCONS_00221201 gene=XLOC_023527,19731.0,0.4335309918402514,0.3827,1053.0,19719.0,1116.0,0.053367796867872894,0.9993918199787137,0.9993918199787137,0.010691560722805166,-0.34897977440713523,0.017095561551507352,-0.34897977440713523,0.40129851930942917,0.2637722511838889,-0.0012665258321442308,-0.004520580668750067,-0.008036503100442495,-0.011964187814042763,-0.01507998600359281,0.49704991229468987,5.531593513488769,38930.59860000001,0.05714285714285714,55.248,1698.8951000000002,-11.373333333333331,41177.08940000004,1698.8951000000002,0.004862249,mrna
TCONS_00204742 gene=ISLR,10569.0,0.5719557195571956,0.48800000000000004,1287.0,10559.0,753.0,0.12177121771217712,0.999053836692213,0.999053836692213,0.47901501385936773,-0.09345012725418769,0.00890171183173874,-0.09345012725418769,0.5055737238372109,0.4007658910586753,0.008565056544792482,0.012209724748610807,0.014486483323552594,0.01597627508218313,0.01878581331970158,0.640843023255814,4.999069023132324,45996.75550000007,0.07009345794392524,48.2341121495327,45996.75550000007,48.2341121495327,27297.4344,45996.75550000007,0.007342279,mrna
