gene	kegg_gene_id	pathway_id	pathway_name
ABCB7	hsa:22	hsa02010	ABC transporters - Homo sapiens (human)
B3GALNT2	hsa:148789	hsa00515	Mannose type O-glycan biosynthesis - Homo sapiens (human)
B3GALNT2	hsa:148789	hsa01100	Metabolic pathways - Homo sapiens (human)
C9orf72	hsa:203228	hsa04140	Autophagy - animal - Homo sapiens (human)
C9orf72	hsa:203228	hsa05014	Amyotrophic lateral sclerosis - Homo sapiens (human)
C9orf72	hsa:203228	hsa05022	Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)
CEBPG	hsa:1054	hsa05152	Tuberculosis - Homo sapiens (human)
CSNK2A1	hsa:1459	hsa03008	Ribosome biogenesis in eukaryotes - Homo sapiens (human)
CSNK2A1	hsa:1459	hsa04064	NF-kappa B signaling pathway - Homo sapiens (human)
CSNK2A1	hsa:1459	hsa04137	Mitophagy - animal - Homo sapiens (human)
CSNK2A1	hsa:1459	hsa04310	Wnt signaling pathway - Homo sapiens (human)
CSNK2A1	hsa:1459	hsa04520	Adherens junction - Homo sapiens (human)
CSNK2A1	hsa:1459	hsa05010	Alzheimer disease - Homo sapiens (human)
CSNK2A1	hsa:1459	hsa05020	Prion disease - Homo sapiens (human)
CSNK2A1	hsa:1459	hsa05022	Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)
CSNK2A1	hsa:1459	hsa05162	Measles - Homo sapiens (human)
CSNK2A1	hsa:1459	hsa05235	PD-L1 expression and PD-1 checkpoint pathway in cancer - Homo sapiens (human)
ELOVL4	hsa:6785	hsa00062	Fatty acid elongation - Homo sapiens (human)
ELOVL4	hsa:6785	hsa01040	Biosynthesis of unsaturated fatty acids - Homo sapiens (human)
ELOVL4	hsa:6785	hsa01100	Metabolic pathways - Homo sapiens (human)
ELOVL4	hsa:6785	hsa01212	Fatty acid metabolism - Homo sapiens (human)
ELOVL4	hsa:6785	hsa04382	Cornified envelope formation - Homo sapiens (human)
HERC4	hsa:26091	hsa04120	Ubiquitin mediated proteolysis - Homo sapiens (human)
IL18R1	hsa:8809	hsa04060	Cytokine-cytokine receptor interaction - Homo sapiens (human)
IL18R1	hsa:8809	hsa04061	Viral protein interaction with cytokine and cytokine receptor - Homo sapiens (human)
IL18R1	hsa:8809	hsa04668	TNF signaling pathway - Homo sapiens (human)
IL18R1	hsa:8809	hsa05321	Inflammatory bowel disease - Homo sapiens (human)
LSM6	hsa:11157	hsa03018	RNA degradation - Homo sapiens (human)
LSM6	hsa:11157	hsa03040	Spliceosome - Homo sapiens (human)
MGAT4A	hsa:11320	hsa00510	N-Glycan biosynthesis - Homo sapiens (human)
MGAT4A	hsa:11320	hsa00513	Various types of N-glycan biosynthesis - Homo sapiens (human)
MGAT4A	hsa:11320	hsa01100	Metabolic pathways - Homo sapiens (human)
NIPA2	hsa:729359	hsa03320	PPAR signaling pathway - Homo sapiens (human)
PAFAH1B2	hsa:5049	hsa00565	Ether lipid metabolism - Homo sapiens (human)
PAFAH1B2	hsa:5049	hsa01100	Metabolic pathways - Homo sapiens (human)
PHF6	hsa:84295	hsa03082	ATP-dependent chromatin remodeling - Homo sapiens (human)
PLCB1	hsa:23236	hsa00562	Inositol phosphate metabolism - Homo sapiens (human)
PLCB1	hsa:23236	hsa01100	Metabolic pathways - Homo sapiens (human)
PLCB1	hsa:23236	hsa04015	Rap1 signaling pathway - Homo sapiens (human)
PLCB1	hsa:23236	hsa04020	Calcium signaling pathway - Homo sapiens (human)
PLCB1	hsa:23236	hsa04022	cGMP-PKG signaling pathway - Homo sapiens (human)
PLCB1	hsa:23236	hsa04062	Chemokine signaling pathway - Homo sapiens (human)
PLCB1	hsa:23236	hsa04070	Phosphatidylinositol signaling system - Homo sapiens (human)
PLCB1	hsa:23236	hsa04071	Sphingolipid signaling pathway - Homo sapiens (human)
PLCB1	hsa:23236	hsa04072	Phospholipase D signaling pathway - Homo sapiens (human)
PLCB1	hsa:23236	hsa04081	Hormone signaling - Homo sapiens (human)
PLCB1	hsa:23236	hsa04082	Neuroactive ligand signaling - Homo sapiens (human)
PLCB1	hsa:23236	hsa04261	Adrenergic signaling in cardiomyocytes - Homo sapiens (human)
PLCB1	hsa:23236	hsa04270	Vascular smooth muscle contraction - Homo sapiens (human)
PLCB1	hsa:23236	hsa04310	Wnt signaling pathway - Homo sapiens (human)
PLCB1	hsa:23236	hsa04371	Apelin signaling pathway - Homo sapiens (human)
PLCB1	hsa:23236	hsa04540	Gap junction - Homo sapiens (human)
PLCB1	hsa:23236	hsa04611	Platelet activation - Homo sapiens (human)
PLCB1	hsa:23236	hsa04613	Neutrophil extracellular trap formation - Homo sapiens (human)
PLCB1	hsa:23236	hsa04621	NOD-like receptor signaling pathway - Homo sapiens (human)
PLCB1	hsa:23236	hsa04713	Circadian entrainment - Homo sapiens (human)
PLCB1	hsa:23236	hsa04720	Long-term potentiation - Homo sapiens (human)
PLCB1	hsa:23236	hsa04723	Retrograde endocannabinoid signaling - Homo sapiens (human)
PLCB1	hsa:23236	hsa04724	Glutamatergic synapse - Homo sapiens (human)
PLCB1	hsa:23236	hsa04725	Cholinergic synapse - Homo sapiens (human)
PLCB1	hsa:23236	hsa04726	Serotonergic synapse - Homo sapiens (human)
PLCB1	hsa:23236	hsa04728	Dopaminergic synapse - Homo sapiens (human)
PLCB1	hsa:23236	hsa04730	Long-term depression - Homo sapiens (human)
PLCB1	hsa:23236	hsa04742	Taste transduction - Homo sapiens (human)
PLCB1	hsa:23236	hsa04750	Inflammatory mediator regulation of TRP channels - Homo sapiens (human)
PLCB1	hsa:23236	hsa04911	Insulin secretion - Homo sapiens (human)
PLCB1	hsa:23236	hsa04912	GnRH signaling pathway - Homo sapiens (human)
PLCB1	hsa:23236	hsa04915	Estrogen signaling pathway - Homo sapiens (human)
PLCB1	hsa:23236	hsa04916	Melanogenesis - Homo sapiens (human)
PLCB1	hsa:23236	hsa04918	Thyroid hormone synthesis - Homo sapiens (human)
PLCB1	hsa:23236	hsa04919	Thyroid hormone signaling pathway - Homo sapiens (human)
PLCB1	hsa:23236	hsa04921	Oxytocin signaling pathway - Homo sapiens (human)
PLCB1	hsa:23236	hsa04922	Glucagon signaling pathway - Homo sapiens (human)
PLCB1	hsa:23236	hsa04924	Renin secretion - Homo sapiens (human)
PLCB1	hsa:23236	hsa04925	Aldosterone synthesis and secretion - Homo sapiens (human)
PLCB1	hsa:23236	hsa04926	Relaxin signaling pathway - Homo sapiens (human)
PLCB1	hsa:23236	hsa04927	Cortisol synthesis and secretion - Homo sapiens (human)
PLCB1	hsa:23236	hsa04928	Parathyroid hormone synthesis, secretion and action - Homo sapiens (human)
PLCB1	hsa:23236	hsa04929	GnRH secretion - Homo sapiens (human)
PLCB1	hsa:23236	hsa04933	AGE-RAGE signaling pathway in diabetic complications - Homo sapiens (human)
PLCB1	hsa:23236	hsa04934	Cushing syndrome - Homo sapiens (human)
PLCB1	hsa:23236	hsa04935	Growth hormone synthesis, secretion and action - Homo sapiens (human)
PLCB1	hsa:23236	hsa04961	Endocrine and other factor-regulated calcium reabsorption - Homo sapiens (human)
PLCB1	hsa:23236	hsa04970	Salivary secretion - Homo sapiens (human)
PLCB1	hsa:23236	hsa04971	Gastric acid secretion - Homo sapiens (human)
PLCB1	hsa:23236	hsa04972	Pancreatic secretion - Homo sapiens (human)
PLCB1	hsa:23236	hsa04973	Carbohydrate digestion and absorption - Homo sapiens (human)
PLCB1	hsa:23236	hsa05010	Alzheimer disease - Homo sapiens (human)
PLCB1	hsa:23236	hsa05016	Huntington disease - Homo sapiens (human)
PLCB1	hsa:23236	hsa05017	Spinocerebellar ataxia - Homo sapiens (human)
PLCB1	hsa:23236	hsa05022	Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)
PLCB1	hsa:23236	hsa05131	Shigellosis - Homo sapiens (human)
PLCB1	hsa:23236	hsa05142	Chagas disease - Homo sapiens (human)
PLCB1	hsa:23236	hsa05143	African trypanosomiasis - Homo sapiens (human)
PLCB1	hsa:23236	hsa05146	Amoebiasis - Homo sapiens (human)
PLCB1	hsa:23236	hsa05163	Human cytomegalovirus infection - Homo sapiens (human)
PLCB1	hsa:23236	hsa05200	Pathways in cancer - Homo sapiens (human)
PLCB1	hsa:23236	hsa05415	Diabetic cardiomyopathy - Homo sapiens (human)
PLCB1	hsa:23236	hsa05417	Lipid and atherosclerosis - Homo sapiens (human)
PRKAR1A	hsa:5573	hsa04910	Insulin signaling pathway - Homo sapiens (human)
SEH1L	hsa:81929	hsa03013	Nucleocytoplasmic transport - Homo sapiens (human)
SEH1L	hsa:81929	hsa04150	mTOR signaling pathway - Homo sapiens (human)
SEH1L	hsa:81929	hsa05014	Amyotrophic lateral sclerosis - Homo sapiens (human)
SLC19A2	hsa:10560	hsa04977	Vitamin digestion and absorption - Homo sapiens (human)
