lncrna,mrna,Decision_Tree(%),K-Nearest-Neighbours(%),Random_Forest(%),LightGBM(%),Cumulative_Model_Score(%),avg_score,models_ge80
TCONS_00372672,ENST00000331173.6,99.09,100.0,95.45,89.9,100.0,96.11000000000001,4
TCONS_00372672,ENST00000928787.1,99.09,100.0,93.26,89.9,100.0,95.5625,4
TCONS_00372672,ENST00000928788.1,99.09,100.0,93.21,89.9,100.0,95.55000000000001,4
TCONS_00372672,ENST00000903191.1,99.09,100.0,93.05,89.9,100.0,95.50999999999999,4
TCONS_00372672,ENST00000492996.6,99.09,100.0,92.64,90.0,100.0,95.4325,4
TCONS_00372672,ENST00000592173.5,99.09,100.0,92.5,90.0,100.0,95.39750000000001,4
TCONS_00372672,ENST00000951537.1,99.09,100.0,92.5,90.0,100.0,95.39750000000001,4
TCONS_00372672,ENST00000528080.6,99.09,100.0,92.55,89.9,100.0,95.38499999999999,4
TCONS_00372672,ENST00000343028.9,99.09,100.0,92.4,89.9,100.0,95.3475,4
TCONS_00372672,ENST00000928783.1,99.09,100.0,92.26,89.9,100.0,95.3125,4
TCONS_00372672,ENST00000527958.6,99.09,100.0,92.26,89.9,100.0,95.3125,4
TCONS_00372672,ENST00000928789.1,99.09,100.0,92.25,89.9,100.0,95.31,4
TCONS_00372672,ENST00000928784.1,99.09,100.0,92.21,89.9,100.0,95.30000000000001,4
TCONS_00372672,ENST00000896545.1,99.09,100.0,92.16,89.9,100.0,95.2875,4
TCONS_00372672,ENST00000907584.1,99.09,100.0,92.14,89.9,100.0,95.2825,4
TCONS_00372672,ENST00000356978.9,99.09,100.0,92.14,89.9,100.0,95.2825,4
TCONS_00372672,ENST00000903192.1,99.09,100.0,91.98,90.0,100.0,95.2675,4
TCONS_00372672,ENST00000205636.4,99.09,100.0,91.98,90.0,100.0,95.2675,4
TCONS_00372672,ENST00000921002.1,99.09,100.0,91.92,90.0,100.0,95.2525,4
TCONS_00372672,ENST00000889530.1,99.09,100.0,91.9,90.0,100.0,95.2475,4
TCONS_00372672,ENST00000889531.1,99.09,100.0,91.9,90.0,100.0,95.2475,4
TCONS_00372672,ENST00000908818.1,99.09,100.0,91.99,89.9,100.0,95.245,4
TCONS_00372672,ENST00000903188.1,99.09,100.0,91.89,90.0,100.0,95.245,4
TCONS_00372672,ENST00000950468.1,99.09,100.0,91.87,90.0,100.0,95.24000000000001,4
TCONS_00372672,ENST00000881712.1,99.09,100.0,91.87,90.0,100.0,95.24000000000001,4
TCONS_00372672,ENST00000913239.1,99.09,100.0,91.86,90.0,100.0,95.2375,4
TCONS_00372672,ENST00000855854.1,99.09,100.0,91.85,90.0,100.0,95.235,4
TCONS_00372672,ENST00000954860.1,99.09,100.0,91.84,90.0,100.0,95.2325,4
TCONS_00372672,ENST00000367804.4,99.09,100.0,91.82,90.0,100.0,95.22749999999999,4
TCONS_00372672,ENST00000903190.1,99.09,100.0,91.89,89.9,100.0,95.22,4
TCONS_00372672,ENST00000883749.1,99.09,100.0,91.78,90.0,100.0,95.2175,4
TCONS_00372672,ENST00000262124.15,99.09,100.0,91.87,89.9,100.0,95.215,4
TCONS_00372672,ENST00000953914.1,99.09,100.0,91.87,89.9,100.0,95.215,4
TCONS_00372672,ENST00000903189.1,99.09,100.0,91.86,89.9,100.0,95.2125,4
TCONS_00372672,ENST00000913605.1,99.09,100.0,91.84,89.9,100.0,95.20750000000001,4
TCONS_00372672,ENST00000908819.1,99.09,100.0,91.84,89.9,100.0,95.20750000000001,4
TCONS_00372672,ENST00000272091.8,99.09,100.0,91.84,89.9,100.0,95.20750000000001,4
TCONS_00372672,ENST00000856828.1,99.09,100.0,91.74,90.0,100.0,95.2075,4
TCONS_00372672,ENST00000859497.1,99.09,100.0,91.73,90.0,100.0,95.205,4
TCONS_00372672,ENST00000936131.1,99.09,100.0,91.73,90.0,100.0,95.205,4
TCONS_00372672,ENST00000646596.1,99.09,100.0,91.66,90.0,100.0,95.1875,4
TCONS_00372672,ENST00000860830.1,99.09,100.0,91.76,89.9,100.0,95.1875,4
TCONS_00372672,ENST00000685047.1,99.09,100.0,91.75,89.9,100.0,95.185,4
TCONS_00372672,ENST00000436547.7,99.09,100.0,91.75,89.9,100.0,95.185,4
TCONS_00372672,ENST00000899835.1,99.09,100.0,91.74,89.9,100.0,95.1825,4
TCONS_00372672,ENST00000931713.1,99.09,100.0,91.74,89.9,100.0,95.1825,4
TCONS_00372672,ENST00000945185.1,99.09,100.0,91.73,89.9,100.0,95.18,4
TCONS_00372672,ENST00000920823.1,99.09,100.0,91.72,89.9,100.0,95.17750000000001,4
TCONS_00372672,ENST00000920822.1,99.09,100.0,91.72,89.9,100.0,95.17750000000001,4
TCONS_00372672,ENST00000890977.1,99.09,100.0,91.61,90.0,100.0,95.175,4
